,"recette","Coulibiac de saumon","# ETAPE 1
* enlever peau et arêtes du saumon
* cuire  épinards
* cuire riz et poisson à la vapeur (25min)

# ÉTAPE 2 :
* Préchauffer le four à 210° C.
* Abaisser la pâte feuilletée comme vous le souhaiter

# ÉTAPE 3 :
* Au centre de la pâte, étaler le mélange riz épinards, puis poser le saumon et parsemer du comté râpé. 
* Refermer la pâte en soudant bien les bords, faire des dessins sur le dessus et dorer la pâte avec un jaune d'œuf 
*faire cuire pendant 30 minutes.

# ÉTAPE 4 :
* Faire la sauce avec la crème, le citron et assaisonner.
*servir chaud tranché et nappé de sauce....

 ","4","120min","[  { ""M"" : {      ""nom"" : { ""S"" : ""Saumon"" },      ""qty"" : { ""S"" : ""400g"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Epinards"" },      ""qty"" : { ""S"" : ""500g"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""riz"" },      ""qty"" : { ""S"" : ""80g"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""comté râpé"" },      ""qty"" : { ""S"" : ""150g"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Aneth"" },      ""qty"" : { ""S"" : ""1"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""jaune d'oeuf"" },      ""qty"" : { ""S"" : ""1"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""pâte feuilletée"" },      ""qty"" : { ""S"" : ""2"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""crême fraiche"" },      ""qty"" : { ""S"" : ""pour la sauce"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""citron"" },      ""qty"" : { ""S"" : ""1"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""sucre d'érable"" },      ""qty"" : { ""S"" : ""1 cuillere"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""sel"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""poivre"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""paprika"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  }]"

,"recette","chirashi saumon avocat","","4","50",

,"recette","Tagine de poulet aux raisins","# ETAPE 1
* Faites revenir les morceaux de poulet 5 à 6 min dans l'huile chaude en les retournant sur toutes faces. 
* Ajoutez l'oignon finement haché, la tomate pelée, épépinée et hachée, le gingembre, le safran, les graines de coriandre, sel et poivre. 
* Mouillez avec 20 cl d'eau. 
* Couvrez et faites cuire 30 min sur feu doux en retournant les morceaux de poulet en cours de cuisson.

# ETAPE 2

* Pendant ce temps, incisez la peau des amandes autour de la coque. 
* Cassez délicatement les coques. 
* Sortez les amandes et pincez-les entre le pouce et l'index pour les débarrasser de leur dernière peau. 

# ETAPE 3
* Rincez le raisin blanc et égrappez-le.
* Au bout de 30 min de cuisson, ajoutez les deux raisins, les amandes, le miel et la cannelle. 
* Poursuivez la cuisson 20 min à découvert. 
* En fin de cuisson, parfumez d'eau de fleur d'oranger.
*Servez très chaud parsemé de feuilles de coriandre.

source: https://www.cuisineactuelle.fr/recettes/tagine-de-poulet-aux-raisins-206260","8","1h30","[  { ""M"" : {      ""nom"" : { ""S"" : ""cuisses de poulet"" },      ""qty"" : { ""S"" : ""4"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Oignons"" },      ""qty"" : { ""S"" : ""2"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""tomates"" },      ""qty"" : { ""S"" : ""1 grosse"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""raisin blanc"" },      ""qty"" : { ""S"" : ""1 grappe"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Raisins blonds"" },      ""qty"" : { ""S"" : ""80g"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Miel"" },      ""qty"" : { ""S"" : ""3 cuillère à soupe"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""huile d'olive"" },      ""qty"" : { ""S"" : ""2 cuillère à soupe"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Gingembre en poudre"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Safran"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Graines de coriandre"" },      ""qty"" : { ""S"" : ""1 cuillère à café"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Cannelle"" },      ""qty"" : { ""S"" : ""1 cuillère à café"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Eau de fleur d'oranger"" },      ""qty"" : { ""S"" : ""1 cuillère à café"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Brins de coriandre"" },      ""qty"" : { ""S"" : ""5"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""sel"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""poivre"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  }]"

,"recette","Soupe lentille corail et carottes","* Pelez et émincez l’oignon.
* Épluchez les carottes, rincez-les et coupez-les en rondelles.
* Faites chauffer l’huile dans une cocotte et faites suer l’oignon avec le curry. 
* Ajoutez les carottes et les lentilles et mélangez. 
* Couvrez d’eau à hauteur, portez à ébullition puis baissez le feu et laissez mijoter environ 20 min.
* Salez, poivrez et mixez le tout. 
* Servir bien chaud avec une touche de crème et quelques feuilles de coriandre","4","30 minutes","[  { ""M"" : {      ""nom"" : { ""S"" : ""lentilles corail"" },      ""qty"" : { ""S"" : ""200g"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""carotte"" },      ""qty"" : { ""S"" : ""3"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""Oignons"" },      ""qty"" : { ""S"" : ""1"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""curry"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""huile d'olive"" },      ""qty"" : { ""S"" : ""1 cuillère à soupe"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""crème fraîche"" },      ""qty"" : { ""S"" : ""5cl"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""sel"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""poivre"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""coriandre"" },      ""qty"" : { ""S"" : ""quelques feuilles (option)"" }    }  }]"

,"recette","Mousse au chocolat","# ETAPE1
* Faire fondre le chocolat cassé en petits morceaux au bain-marie ou à feu doux.
* Lorsqu'il est complètement fondu, remuer délicatement pour obtenir une pâte lisse. Retirez du feu et laissez tiédir.
* Casser les œufs en séparant les jaunes des blancs. 
* Ajouter le sel dans les blancs et battez-les en neige très ferme.
* Verser peu à peu le chocolat fondu sur les jaunes d'œufs en mélangeant énergiquement.
* Incorporer délicatement avec une spatule 1/3 des blancs d'œufs battus puis ajouter le reste progressivement en soulevant la préparation de bas en haut pour bien répartir le chocolat sans faire tomber les blancs.
* Répartisser dans 6 verrines.
* Faire prendre la mousse au chocolat 3 heures minimum au réfrigérateur. 
* Servir bien frais.","8","3h30","[  { ""M"" : {      ""nom"" : { ""S"" : ""Chocolat "" },      ""qty"" : { ""S"" : ""200g"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""oeufs"" },      ""qty"" : { ""S"" : ""6"" }    }  },  { ""M"" : {      ""nom"" : { ""S"" : ""sel"" },      ""qty"" : { ""S"" : ""1 pincée"" }    }  }]"

